surname,count,rank
Aaron,16276,2241
Abarca,9363,3780
Abbott,52739,645
Abdi,7484,4738
Abdullah,8314,4272
Abel,18464,1958
Abell,7339,4811
Abernathy,16450,2216
Abney,9948,3579
Abraham,31303,1120
Abrams,25534,1387
Abrego,7702,4606
Abreu,17998,2008
Acevedo,51351,665
Aceves,9854,3603
Acker,10519,3400
Ackerman,25401,1398
Ackley,7102,4952
Acosta,103418,302
Acuna,16683,2179
Adair,18708,1927
Adam,13574,2654
Adame,16193,2250
Adams,427865,42
Adamson,16515,2205
Adcock,12599,2861
Addison,18169,1986
Adkins,73599,449
Adler,16412,2223
Agee,10857,3304
Agnew,9856,3602
Aguayo,12876,2799
Aguiar,8390,4227
Aguilar,186512,134
Aguilera,31581,1109
Aguirre,79517,401
Ahern,8221,4322
Ahmad,16291,2238
Ahmed,48319,720
Ahn,10567,3379
Ahrens,10182,3508
Aiello,8927,3982
Aiken,12812,2816
Ainsworth,9149,3874
Akers,25290,1405
Akin,8626,4114
Akins,17868,2020
Alam,7932,4476
Alanis,11029,3274
Alaniz,16596,2189
Alarcon,18805,1917
Alba,13347,2699
Albers,9766,3638
Albert,32507,1076
Albertson,9943,3580
Albrecht,17581,2047
Albright,25189,1410
Alcala,17758,2029
Alcantar,12919,2794
Alcantara,12636,2853
Alcaraz,11616,3098
Alcorn,7884,4498
Aldana,10362,3448
Alderman,10119,3528
Aldrich,17509,2060
Aldridge,23034,1562
Alejandro,7770,4563
Aleman,22927,1571
Alexander,204621,118
Alfaro,35725,975
Alfonso,12246,2927
Alford,30771,1140
Ali,60002,559
Alicea,12287,2917
Allan,11867,3022
Allard,10047,3553
Allen,482607,33
Alley,14323,2529
Allison,52701,646
Allman,7977,4447
Allred,18526,1947
Almanza,14708,2454
Almaraz,8404,4215
Almeida,16760,2166
Almond,7188,4902
Almonte,12128,2958
Alonso,30389,1155
Alonzo,20367,1758
Alston,30693,1148
Altamirano,12296,2915
Altman,16448,2217
Alvarado,133501,219
Alvarenga,7973,4449
Alvarez,233983,92
Alves,13882,2595
Amador,22370,1603
Amaral,9567,3709
Amaro,11769,3042
Amato,12713,2837
Amaya,33218,1057
Ambriz,10445,3416
Ambrose,17178,2107
Ames,22385,1598
Amezcua,7206,4889
Amin,11137,3243
Ammons,8904,3989
Amos,23621,1517
An,8160,4353
Anaya,24017,1488
Anders,15554,2343
Andersen,36150,963
Anderson,784404,15
Andrade,65037,516
Andre,9358,3785
Andres,12821,2813
Andrew,13764,2617
Andrews,133799,218
Andrus,10197,3505
Angel,24895,1428
Angeles,14128,2559
Angell,7725,4593
Angelo,7728,4590
Anglin,10396,3434
Anguiano,16479,2208
Angulo,12714,2836
Anthony,55114,618
Antoine,9493,3734
Antonio,15461,2358
Aparicio,13437,2680
Apodaca,11280,3202
Aponte,15828,2305
Appel,7938,4473
Applegate,11762,3046
Aquino,25783,1368
Aragon,25801,1367
Araiza,7095,4956
Arana,10698,3347
Aranda,19298,1861
Araujo,18856,1908
Arce,19464,1844
Archer,34949,1000
Archibald,8359,4242
Archie,7035,4990
